SAT Math,SAT Verbal,GPA,Credits earned,Family income,Days drinking (last 30 days),Income
4,4,252,132,135100,2,45000
3,3,344,135,4450,3,4200
3,3,231,120,75000,7,25000
4,5,215,125,63250,8,38000
2,2,111,31,55000,4,37500
4,3,78,10,15000,2,15000
3,3,305,60,70000,10,35000
3,3,263,110,144000,10,44000
3,2,220,15,165000,10,30000
4,4,284,141,140000,10,20000
5,4,212,120,182800,10,45000
4,4,178,21,34001,8,8000
6,5,329,134,55500,28,55000
5,5,305,32,279104,0,37000
3,3,387,126,182000,1,2000
6,5,322,76,120000,10,50000
6,4,367,136,67770,10,63500
3,3,264,26,29857,10,14300
4,2,215,34,60286,0,42000
3,3,364,133,46002,5,16000
2,3,161,10,71667,10,17000
3,3,255,85,65000,5,30000
4,5,329,128,13750,25,10000
3,3,276,68,80000,5,22000
1,2,190,9,142250,2,12000
4,4,309,126,117100,1,41600
5,4,400,3,26055,5,26000
4,3,231,147,279104,0,52000
4,3,246,77,149750,4,45000
4,5,350,69,60500,2,30000
3,3,230,30,31714,2,30000
3,4,213,61,104750,2,24000
2,3,270,71,92400,2,35000
5,4,0,0,182000,2,32000
4,4,355,133,64250,10,10000
5,5,400,3,110100,6,55000
4,4,313,16,199500,10,32000
4,4,273,125,84231,3,39000
5,5,0,0,53300,3,40000
4,5,371,129,110450,1,3500
5,3,291,120,52250,2,52000
3,2,129,7,35000,1,6000
3,3,295,64,195000,2,15000
6,4,238,124,279104,7,60000
4,3,229,17,39654,0,2000
3,4,232,25,22000,3,22000
4,4,232,118,38000,0,38000
3,4,114,4,279104,5,20000
2,2,192,31,50000,0,25000
4,4,266,181,37427,15,22000
5,5,159,27,87000,4,12000
2,3,176,40,96750,0,26500
4,5,400,63,93250,4,13000
3,4,372,34,18000,5,18000
4,4,282,69,50309,0,25000
4,5,290,40,4500,4,2000
4,4,321,151,115000,5,20000
6,6,300,3,35000,5,35000
4,4,269,13,105000,15,30000
6,3,305,76,151000,0,16000
4,4,366,144,700,20,700
3,2,178,30,124000,2,29000
4,4,196,22,279104,5,11000
4,4,277,132,49250,4,49000
6,6,245,131,51600,2,33000
6,4,304,56,48750,5,46000
4,4,371,61,47000,1,7000
6,6,206,115,59000,0,33000
4,4,280,60,59751,15,45000
4,3,309,102,73420,0,55744
4,4,310,143,19300,2,18000
4,4,315,133,63790,5,30000
2,5,141,66,60000,1,25000
4,5,312,120,9000,7,9000
5,4,257,12,118000,4,40000
4,5,206,13,76750,4,50000
4,4,351,129,279104,2,112215
5,4,346,157,109001,15,67000
6,6,334,174,301,2,300
5,6,391,129,49750,4,24000
6,5,368,66,12423,5,8673
4,5,353,122,40000,10,15000
5,4,366,144,279104,6,16000
4,4,238,58,138000,8,38000
3,2,329,173,50046,2,49793
4,4,267,131,22000,12,12000
4,4,307,135,56520,2,54000
4,5,390,136,91500,2,112215
4,4,371,14,78700,4,50000
2,4,272,128,48000,8,30000
4,5,345,199,165000,10,15000
6,5,341,76,45000,2,45000
3,4,352,126,81000,6,42000
4,4,256,67,82560,6,37000
5,4,400,6,182000,2,10000
6,6,339,153,279104,5,36000
4,5,254,120,140000,8,40000
4,5,308,188,279104,2,3500
4,4,295,38,100500,15,50000
5,3,70,4,42000,4,42000
4,4,244,160,14250,5,8000
4,4,346,123,27000,7,23000
6,5,235,182,73800,10,112215
5,5,341,17,11000,9,10000
2,3,265,107,279104,10,112215
6,5,359,149,66750,6,66000
5,4,0,35,105000,2,19000
6,6,383,124,40300,1,40000
5,3,0,0,113600,8,27600
4,4,362,16,123750,2,2000
5,3,212,15,130000,29,70000
4,4,282,148,48750,0,38000
5,5,400,8,8750,3,8500
6,4,125,6,36000,1,10000
3,4,200,6,42472,3,19972
2,4,0,0,12000,2,7000
5,6,376,152,279104,10,22000
5,5,345,181,87000,1,27000
5,4,370,84,279104,1,35000
4,4,263,32,98000,10,38000
5,6,310,129,110000,25,35000
3,2,279,87,62000,1,12000
3,5,311,126,33510,8,26000
3,4,232,68,25250,8,25000
5,4,293,51,65006,2,57000
4,4,380,59,48000,3,8000
5,4,333,144,16250,12,15000
4,4,310,108,26542,2,15000
4,4,342,122,88400,3,48000
5,4,337,136,41050,3,41000
5,4,372,133,20000,4,20000
4,4,400,11,36300,9,36000
4,4,369,132,34825,1,34575
4,4,254,128,54015,4,28000
6,5,317,6,23006,5,23000
4,4,343,120,52012,0,26000
4,4,347,121,60003,0,30000
4,3,250,108,31000,3,31000
5,4,346,141,14350,4,14000
5,5,338,122,57250,10,57000
5,5,275,44,53250,5,25000
4,5,356,42,7000,2,5000
4,3,188,8,82758,8,2000
4,4,245,72,123250,2,55000
4,4,287,40,144712,7,3652
4,4,192,66,23750,10,20000
3,3,0,0,102650,2,25000
5,6,380,151,29250,1,27000
4,5,378,41,120000,0,30000
2,3,370,150,38000,3,6000
6,5,319,120,21750,2,20000
6,5,400,153,29250,20,20000
3,3,333,9,120000,15,0
4,4,365,130,123260,5,48000
4,4,327,84,40270,10,40000
4,5,248,45,46000,4,8000
5,5,353,128,80600,3,4800
2,2,239,28,41254,2,31000
4,3,372,161,10750,1,10000
3,3,288,51,67000,10,67000
5,5,397,128,279104,2,112215
4,5,309,125,107763,0,4000
4,4,283,95,80000,0,60000
3,3,295,144,53000,15,23000
5,6,356,64,31005,24,31000
5,4,400,3,32252,7,26000
4,5,125,14,11750,25,10000
3,4,0,0,132100,4,57000
5,5,372,128,18350,15,18000
5,5,342,138,60751,4,35000
4,5,185,9,125040,10,25000
5,4,307,122,40954,2,38000
5,4,157,42,134254,3,34000
4,4,363,155,38260,8,3000
3,3,267,9,32000,2,32000
3,3,251,138,45250,1,24000
4,3,293,29,279104,0,48000
5,4,332,88,151500,5,57000
4,4,320,51,44010,25,35500
5,5,254,21,279104,20,112215
5,5,337,122,45230,2,45000
2,2,300,53,149150,3,20000
2,3,100,3,35000,5,15000
3,2,213,105,31000,3,14000
4,4,282,120,40000,8,40000
3,3,234,139,83750,1,43000
3,3,338,142,64750,5,42000
4,4,340,70,45000,2,35000
4,5,382,137,67050,12,23000
1,4,272,12,162850,14,14000
4,5,368,121,55000,15,35000
5,5,280,40,85000,3,112215
4,5,364,52,88216,15,38216
4,4,301,54,40900,1,1500
5,5,364,16,64005,8,19000
5,5,384,121,58000,8,13000
5,5,333,121,186770,7,35000
4,4,334,120,133000,0,112215
5,5,324,128,43750,25,26000
4,4,271,136,144000,10,40000
3,3,286,131,97000,8,52000
4,5,193,38,60000,4,5000
3,4,87,9,60000,10,60000
5,5,390,137,36000,3,25000
5,3,320,20,53000,3,53000
4,4,358,120,71000,3,38000
3,3,206,73,50000,10,15000
3,4,261,36,88250,2,8000
5,5,279,125,45000,25,45000
4,4,267,64,42075,20,11700
6,5,386,118,76000,4,70000
2,2,300,4,15260,10,0
4,4,336,125,36665,1,32650
4,4,315,35,105000,15,35000
6,5,350,53,47270,2,47000
5,5,313,8,48750,8,15000
3,4,217,18,12000,5,12000
4,4,344,139,45000,20,20000
3,1,0,0,45200,15,20000
3,4,370,97,22266,5,22016
3,3,290,109,28000,4,28000
4,4,145,7,51000,5,51000
5,5,359,139,97780,10,30000
3,2,246,123,41000,1,41000
6,2,180,5,10000,10,10000
4,5,347,63,42000,10,0
6,6,386,139,10000,6,10000
4,4,306,63,279104,4,35000
5,3,144,43,110000,20,40000
3,2,0,0,105000,10,40000
4,5,312,126,68605,10,1600
5,4,385,131,126000,4,112215
4,4,354,124,108000,2,46000
2,3,348,135,13000,5,12000
5,4,383,150,17000,4,17000
3,3,278,131,55800,0,20800
3,3,307,124,30000,1,30000
4,4,372,129,75800,2,38000
4,4,316,50,44000,20,44000
3,3,259,122,80250,7,15000
6,6,397,138,30000,12,30000
4,4,170,10,139000,3,35000
2,2,264,113,10750,8,10000
6,4,137,25,123000,2,13000
5,4,318,186,73000,5,8000
5,4,270,5,54000,20,21000
5,5,248,18,170500,5,30000
3,3,125,9,100500,5,50000
4,5,330,44,29000,15,12000
4,4,290,15,72100,14,29000
5,5,153,63,37100,2,12000
5,5,264,125,66000,6,36000
5,6,366,6,84750,2,4000
4,4,340,128,85000,1,45000
4,4,43,6,93000,7,35000
4,4,287,123,207000,15,32000
5,4,328,129,33000,5,33000
6,5,332,142,14000,2,14000
4,5,354,175,30000,20,30000
3,4,166,18,31000,20,31000
